json_file,window_index,window_text,sentiment_label,sentiment_score
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,0,I don't really have any complaints with the choices that,neutral,0.6967774033546448
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,1,were present. I'd say some of them could have been,neutral,0.7864034175872803
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,2,a bit more detailed in what they were trying to,neutral,0.7562608122825623
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,3,"provide. Anything I can think of, I think, has already",neutral,0.8057901859283447
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,4,"been touched upon, but not in the entirety that I",neutral,0.783241331577301
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,5,"think of. For example, the green utopia. In concept, it's",neutral,0.6638718843460083
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6,"pretty good, but there has to be a bunch of",positive,0.8542995452880859
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,0,"Well, I think science and innovation top all, and that's",positive,0.7768856883049011
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,1,why I have it as my number one choice. Under,neutral,0.5960823893547058
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,2,"that, having sustainability in the form of green energy in",positive,0.5611832737922668
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,3,"conjunction with nature, with bits of modernality, makes that modern",neutral,0.8480260372161865
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,4,green utopia a good secondary choice. um the third one,positive,0.8238304853439331
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,5,is basically the world we already live in so i,neutral,0.6630666255950928
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,6,went ahead and i selected that one mainly because i,neutral,0.6406221389770508
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,7,compared it to the others and it just ruled above,neutral,0.8172312378883362
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,8,those um the moral commonwealth i didn't really like all,negative,0.8504055738449097
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,9,too much just because governed by morality uh that that's,negative,0.6459629535675049
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,10,not going to work really too well because someone can,negative,0.7705821394920349
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,11,take control of the world basically in that scenario The,neutral,0.754359781742096
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,12,"Primitial Bliss, it was just the better option than the",positive,0.5820831060409546
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,13,two below that one. AI is really too black and,negative,0.7981964349746704
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,14,white and is prone to error. So that would just,negative,0.6440423727035522
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,15,lead to more chaos than order. And I really just,negative,0.8515797257423401
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,0,I'm not all that imaginative. So the options given were,neutral,0.5413604974746704
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,1,plentiful. I can't really see anything that's missing. I think,neutral,0.5323420763015747
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,2,"for any of it to work, people need to kind",negative,0.6771731972694397
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,3,of buy in. And I think that's where the legal,neutral,0.8815324306488037
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,4,system comes into play in which people kind of buy,neutral,0.8761692047119141
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,5,"in. We kind of see that as of now, only",neutral,0.8965720534324646
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,6,"a few individuals commit the crimes, but a large majority",negative,0.5986657738685608
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,7,abide by it. So there's nothing in particular that I,neutral,0.8241565823554993
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,0,The reason why I ranked my choices in the order,neutral,0.7615827918052673
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,1,"that I did is based on what I've currently experienced,",neutral,0.9441976547241211
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,2,"institutional utopia, rule of law. Even though our world is",neutral,0.6670099496841431
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,3,"not a utopia, that's kind of the world that we",neutral,0.5759707689285278
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,4,live in now in which we kind of are obligated,neutral,0.7499213218688965
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,5,by legal regulations. So I'd rather focus on something that,neutral,0.6788922548294067
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,6,"I'm used to than thinking about hypotheticals. And then, of",neutral,0.6885303258895874
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,7,"course, the low tech and small scale, I believe, having",neutral,0.7791754603385925
